suffix_a,suffix_b,id_a,id_b,calc_hash_prefix,shift_prefix,prefix_matches,role_a,role_b,levels_a,levels_b
1,2,0x10b91810,0x10b9181c,0x0f3f00a7,0,,,,FINN,FINN
1,2,0x10b91810,0x10b97810,0x0f3b0027,11,,,,FINN,FINN
1,2,0x10b91810,0x10b9d810,0x0f370027,12,,,,FINN,FINN
1,3,0x10b91810,0x10b94810,0x0f3d0027,10,,,,FINN,FINN
1,2,0x10b9181c,0x10b9781c,0x0f3b01a7,11,,,,FINN,FINN
1,2,0x10b9181c,0x10b9d81c,0x0f3701a7,12,,,,FINN,FINN
1,3,0x10b9181c,0x10b9481c,0x0f3d01a7,10,,,,FINN,FINN
1,2,0x10b94810,0x10b9481c,0x0f3500a7,0,,,,FINN,FINN
1,2,0x10b94810,0x10b95010,0x0f340027,9,,,,FINN,FINN
1,2,0x10b94810,0x10b97810,0x0f370027,10,,,,FINN,FINN
1,3,0x10b94810,0x10b95c10,0x0f358027,8,,,,FINN,FINN
1,2,0x10b9481c,0x10b9501c,0x0f3401a7,9,,,,FINN,FINN
1,2,0x10b9481c,0x10b9781c,0x0f3701a7,10,,,,FINN,FINN
1,3,0x10b9481c,0x10b95c1c,0x0f3581a7,8,,,,FINN,FINN
1,2,0x10b95010,0x10b9501c,0x0f3600a7,0,,,,FINN,FINN
1,2,0x10b95010,0x10b95c10,0x0f368027,8,,,,FINN,FINN
1,3,0x10b95010,0x10b95a10,0x0f364027,7,,,,FINN,FINN
1,3,0x10b95010,0x10b97810,0x0f370027,9,,,,FINN,FINN
1,2,0x10b9501c,0x10b95c1c,0x0f3681a7,8,,,,FINN,FINN
1,3,0x10b9501c,0x10b95a1c,0x0f3641a7,7,,,,FINN,FINN
1,3,0x10b9501c,0x10b9781c,0x0f3701a7,9,,,,FINN,FINN
1,2,0x10b95a10,0x10b95a1c,0x0f3740a7,0,,,,FINN,FINN
1,2,0x10b95a10,0x10b95c10,0x0f370027,7,,,,FINN,FINN
1,2,0x10b95a1c,0x10b95c1c,0x0f3701a7,7,,,,FINN,FINN
1,2,0x10b95c10,0x10b95c1c,0x0f3780a7,0,,,,FINN,FINN
1,2,0x10b97810,0x10b9781c,0x0f3300a7,0,,,,FINN,FINN
1,3,0x10b97810,0x10b9d810,0x0f370027,11,,,,FINN,FINN
1,3,0x10b9781c,0x10b9d81c,0x0f3701a7,11,,,,FINN,FINN
1,2,0x10b9d810,0x10b9d81c,0x0f2700a7,0,,,,FINN,FINN
1,3,0x10b9d810,0x10bb5810,0x0f370027,13,,,,FINN,FINN
1,2,0x18ce0610,0x28ce0610,0x01dcc024,26,,,,CSTL;FOOD;SEVN;TMPL,CSTL;FOOD;SEVN;TMPL
1,2,0x18e88310,0x18e88510,0x050c2026,7,,,,GLEN,GLEN
1,3,0x18e88310,0x18e88910,0x050c2026,7,,,,GLEN,GLEN
1,2,0x18e88510,0x18e88910,0x050c2026,8,,,,GLEN,GLEN
