container,kind,n_members,anchor,visual_role,dims_set,size_set,members
GLID/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
HEAD/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
HEAD/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
KLOG/primary,sprite,3,,,8x9 10x10 13x21,1200;1336;1716,0x2e809804;0x2e811804;0x2e839804
KLOG/primary,audio,3,FX_BOSS_KLOGG_FIRE_3;FX_BOSS_KLOGG_FIRE_1,,,4736;5136;7824,0x48209640;0x49609640;0x49a09640
KLOG/primary,audio,3,,,,6624;9984;16608,0xc8648260;0xc864b260;0xc864d260
MEGA/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
MEGA/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
MENU/stage0,sprite,3,,,44x42 60x37 132x106,23192;24056;62616,0x3080820d;0x3080840d;0x30808e0d
MENU/stage4,sprite,3,,,44x42 60x37 132x106,23192;24056;62616,0x3080820d;0x3080840d;0x30808e0d
MENU/stage4,sprite,3,,[HIGH]: Klaymen with arms up holding object (M,103x116 145x162,20732;720324,0x40b18011;0x40b28011;0x40b48011
MENU/stage5,sprite,3,,,44x42 60x37 132x106,23192;24056;62616,0x3080820d;0x3080840d;0x30808e0d
MOSS/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
MOSS/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
MOSS/stage0,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
MOSS/stage1,sprite,3,,,46x39,10568;17248;18260,0x400c989d;0x400c991d;0xe00e989d
MOSS/stage1,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
MOSS/stage2,sprite,3,,,46x39,10568;17248;18260,0x400c989d;0x400c991d;0xe00e989d
MOSS/stage2,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
MOSS/stage4,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
PHRO/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
PHRO/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
PHRO/stage0,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
PHRO/stage1,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
RUNN/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
SCIE/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
SCIE/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
SCIE/stage0,sprite,3,,,46x39,10568;17248;18260,0x400c989d;0x400c991d;0xe00e989d
SCIE/stage0,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
SCIE/stage1,sprite,3,,,46x39,10568;17248;18260,0x400c989d;0x400c991d;0xe00e989d
SCIE/stage1,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
SCIE/stage2,sprite,3,,[HIGH]: Skull-mage enemy (PHRO/SCIE),40x33 40x36 51x43,4352;4900;6712,0x60181a0c;0x61581a0c;0x61981a0c
SCIE/stage2,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
SCIE/stage3,sprite,3,,[HIGH]: Skull-mage enemy (PHRO/SCIE),40x33 40x36 51x43,4352;4900;6712,0x60181a0c;0x61581a0c;0x61981a0c
SCIE/stage3,sprite,3,,,17x24 18x22 23x23,2472;2888;4556,0x5a89815f;0x5ab9815f;0x5ad9815f
SEVN/primary,sprite,3,,,9x12 10x10 13x21,1200;1624;1716,0xb468d0c6;0xb868d0c6;0xbe68d0c6
SEVN/primary,sprite,3,,,37x57 45x61 58x54,29672,0x1cf99931;0x1df99931;0x1ef99931
