skullmonkeys_id,scummvm_file,scummvm_function,scummvm_line_no,scummvm_code,sm_levels,sm_floor
0x5860c640,klaymen.cpp,Klaymen::hmLandOnFeet,1758,"playSound(0; 0x5860C640);",BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,11
0x5860c640,klaymen.cpp,Klaymen::hmJumpToGrabRelease,2177,"playSound(0; 0x5860C640);",BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,11
0x9d406340,klaymen.cpp,Klaymen::hmIdleHeadOff,241,"playSound(0; 0x9D406340);",BOIL;CRYS;FOOD;HEAD;MEGA;PHRO;SCIE;SEVN;SNOW;TMPL;WEED;WIZZ,12
0x5900c41e,klaymen.cpp,Klaymen::stIdleBlink,566,"startAnimation(0x5900C41E; 0; -1);",BOIL;BRG1;CAVE;CLOU;CRYS;CSTL;EGGS;EVIL;FOOD;GLID;HEAD;MEGA;MOSS;PHRO;SCIE;SEVN;SNOW;SOAR;TMPL;WEED;WIZZ,12
