id_hex,n_candidates,candidates,popcount,kinds
0x68c01218,121,206YAQUINA;20CBALCONE;20DAROON;20LYAQUINA;20VMARANAO;23ASOOKE;24BQUINITE;268PARITOR;269OARIC;26NPARITOR;26OOARIC;2F6YAQUINA;2FCBALCONE;2FDAROON;2FLYAQUINA;2FVMARANAO;2IASOOKE;2JBQUINITE;2L8PARITOR;2L9OARIC,9,sprite|anim
0x7000c248,13,514GESNERAD;51JGESNERAD;5G4GESNERAD;5GJGESNERAD;5P4DENDROBE;5PJDENDROBE;K14GESNERAD;K1JGESNERAD;KG4GESNERAD;KGJGESNERAD;KP4DENDROBE;KPJDENDROBE;RYQGESNERAD,8,audio
0x70404350,22,5BEBLADING;5BSCOSINES;5U7ANIMOSO;5UMANIMOSO;8WWELENCHI;CY3FUMADOS;CY9GNEISSY;CYIFUMADOS;CYOGNEISSY;E38ELENCHI;E3NELENCHI;EI8ELENCHI;EINELENCHI;EW9BASSOON;EWOBASSOON;KBEBLADING;KBSCOSINES;KU7ANIMOSO;KUMANIMOSO;NWWELENCHI,9,audio
0x72000210,2,T1CBRANDING;TGCBRANDING,6,type700
0x78100250,1,SAECOPHOSIS,8,audio
0x80a0c240,3,BXAPURSIVE;Z2YPURSIVE;ZHYPURSIVE,7,audio
0x82886816,4,BV0FLUORATE;BVFFLUORATE;T4DBLUSHFUL;TJDBLUSHFUL,10,sprite|anim
0x8818a018,39,2P7TINCHILL;2PMTINCHILL;7XCTWEAKING;BBTACINUS;BPAUPDIVING;BQUTITBIT;BX8PACHANGA;BXNPACHANGA;D99VALVAL;D9ECAITIF;D9OVALVAL;DDPCORNIFIC;DO9VALVAL;DOECAITIF;DOOVALVAL;E8QTAIYAL;ECQTOWELING;ENQTAIYAL;EVZDISCLOUT;HP7TINCHILL,8,sprite|anim
0x888da193,12,07BBULLING;07QSATANGS;0MBBULLING;0MQSATANGS;F7BBULLING;F7QSATANGS;FMBBULLING;FMQSATANGS;SS9BULLING;SSOBULLING;UQ7DULLING;UQMDULLING,13,sprite|anim
0x88a16190,42,59QZOPHORUS;5OQZOPHORUS;5Y1ANAGRAPH;5Y1OROGRAPH;5YGANAGRAPH;5YGOROGRAPH;7UBAURIFY;AZRTARPAPER;B5WAURIFY;BKWAURIFY;BSERHYNIA;BXZPINELIKE;BZYOPHIURAN;E4UINTENSER;E98SOVRAN;E9BDAGSWAIN;E9NSOVRAN;EJUINTENSER;EO8SOVRAN;EOBDAGSWAIN,10,sprite|anim
0x88a28194,17,1S5GOWDNOOK;1SKGOWDNOOK;60PBANGALOW;6FPBANGALOW;BBABEGGARED;BT9BEGGARER;BTOBEGGARER;DWQAUTOMATS;EQ6PRIMALLY;EQLPRIMALLY;GS5GOWDNOOK;GSKGOWDNOOK;L0PBANGALOW;LFPBANGALOW;RZVBANGALOW;V6CBEGGARER;VLCBEGGARER,10,sprite|anim
0x90805c51,11,53PMORIFORM;5IPMORIFORM;AABLAZURITE;B94EDGEBONE;B9JEDGEBONE;BO4EDGEBONE;BOJEDGEBONE;K3PMORIFORM;KIPMORIFORM;QQYEDGEBONE;TWYMORIFORM,10,audio
0x90810000,8,E78SHIPMAST;E7NSHIPMAST;E98GLOWWORM;E9NGLOWWORM;EM8SHIPMAST;EMNSHIPMAST;EO8GLOWWORM;EONGLOWWORM,4,audio
0x90c24401,42,33BBETRAYED;3IBBETRAYED;3WDNONENT;907RUINATOR;90MRUINATOR;9F7RUINATOR;9FMRUINATOR;BT5CERERITE;BT8THIOZONE;BTKCERERITE;BTNTHIOZONE;DE5BETRAYER;DEKBETRAYER;I3BBETRAYED;IIBBETRAYED;IWDNONENT;O07RUINATOR;O0MRUINATOR;OF7RUINATOR;OFMRUINATOR,8,audio
0x980c6211,47,870CODEWORD;87FCODEWORD;8M0CODEWORD;8MFCODEWORD;AARGARIAL;AS8LAICISES;ASNLAICISES;BD2FRUITIVE;BDHFRUITIVE;BUESEPTIMAL;BVDHENDNESS;BY3TISHRI;BYITISHRI;BYYPARAMINE;D5SVISCERAL;DKSVISCERAL;DSWMORNWARD;DTCFARCER;DW1COCAMINE;DWGCOCAMINE,10,sprite|anim
0x9980d651,17,50PMALINKE;5FPMALINKE;5P3MAPLAND;5PIMAPLAND;9R4GIGLOTS;9RJGIGLOTS;AA3CALVARY;AA3GISANTS;AAICALVARY;AAIGISANTS;K0PMALINKE;KFPMALINKE;KP3MAPLAND;KPIMAPLAND;OR4GIGLOTS;ORJGIGLOTS;QZVMALINKE,13,audio
0x9cc87050,39,14TSOMMAITE;1JTSOMMAITE;5T6INIMICAL;5TLINIMICAL;AU9QUINONYL;AUOQUINONYL;AWYTONITE;BBXUNLIDDED;BC9RETEMPER;BCORETEMPER;BCSSTUMPS;BDETURRICAL;E9BBIJWONER;E9PGEORGIAN;EOBBIJWONER;EOPGEORGIAN;EZ6REVISITS;EZLREVISITS;G4TSOMMAITE;GJTSOMMAITE,12,audio
0xa0824440,7,3BDUNSOLVE;9CWREEQUIP;IBDUNSOLVE;OCWREEQUIP;RDUDELIRIA;RS4GUILDER;RSJGUILDER,7,audio
0xa628e009,2,X2ZDAISIES;XHZDAISIES,11,sprite|anim
0xa8482860,20,44PANIMOSE;44PLYSINES;4JPANIMOSE;4JPLYSINES;4Z1HAUSTUS;4ZGHAUSTUS;D0AHAUSTUS;DFAHAUSTUS;J4PANIMOSE;J4PLYSINES;JJPANIMOSE;JJPLYSINES;JZ1HAUSTUS;JZGHAUSTUS;TP9VARISSE;TPOVARISSE;TU1TAWNIES;TUGTAWNIES;TVZANIMOSE;TVZLYSINES,9,sprite|anim
0xb84968b0,20,6XPAUREOUS;D22AUREOUS;D2HAUREOUS;D6UPUBLISH;DH2AUREOUS;DHHAUREOUS;DLUPUBLISH;DPXDECIDER;DQWDUENDES;LXPAUREOUS;PDVRETOAST;PTAPUBLISH;TP2DECIDER;TPHDECIDER;U92DUENDES;U9HDUENDES;UO2DUENDES;UOHDUENDES;UU4PHYSIOL;UUJPHYSIOL,13,sprite|anim
0xc0099011,2,R3ZMORULOID;RIZMORULOID,8,audio
0xe0c00650,2,5UCLEPORID;KUCLEPORID,9,audio
0xe289c059,10,5YQNEPHRIC;D14NEPHRIC;D1JNEPHRIC;DG4NEPHRIC;DGJNEPHRIC;KYQNEPHRIC;R82SHRIFTS;R8HSHRIFTS;RN2SHRIFTS;RNHSHRIFTS,13,sprite|anim
0xf8494814,3,E5SROCKFISH;EKSROCKFISH;EWVBANDITTI,12,sprite|anim
