slot,addr,id_hex,popcount,known_status,known_name,new_to_csv
175,0x8009b400,0x0914091b,10,,,NEW (not in cracked_names.csv)
176,0x8009b404,0x090d0914,9,,,NEW (not in cracked_names.csv)
177,0x8009b408,0x0906090d,9,,,NEW (not in cracked_names.csv)
178,0x8009b40c,0x08fd08fd,16,,,NEW (not in cracked_names.csv)
179,0x8009b410,0x08ec08f3,13,,,NEW (not in cracked_names.csv)
180,0x8009b414,0x08df08df,16,,,NEW (not in cracked_names.csv)
181,0x8009b418,0x08df08df,16,,,NEW (not in cracked_names.csv)
182,0x8009b41c,0x08d508d5,12,,,NEW (not in cracked_names.csv)
183,0x8009b420,0x08cd08cd,12,,,NEW (not in cracked_names.csv)
184,0x8009b424,0x08b6086c,11,,,NEW (not in cracked_names.csv)
185,0x8009b428,0x0891089c,9,,,NEW (not in cracked_names.csv)
187,0x8009b430,0x08650865,10,,,NEW (not in cracked_names.csv)
188,0x8009b434,0x078d078c,13,,,NEW (not in cracked_names.csv)
189,0x8009b438,0x07790775,16,,,NEW (not in cracked_names.csv)
230,0x8009b4dc,0x60b8bc9c,15,uncracked,,
231,0x8009b4e0,0x60b98cbd,16,uncracked,,
232,0x8009b4e4,0x64bb1cbe,18,uncracked,,
234,0x8009b4ec,0x60b9bcbd,18,uncracked,,
235,0x8009b4f0,0x60a91c9c,13,uncracked,,
236,0x8009b4f4,0x60aa1c9c,13,uncracked,,
237,0x8009b4f8,0x60b93cbd,17,uncracked,,
238,0x8009b4fc,0x61a91c9c,14,uncracked,,
239,0x8009b500,0x62aa1c9c,14,uncracked,,
241,0x8009b508,0xa0299a4d,13,uncracked,,
242,0x8009b50c,0x006b9a6f,15,uncracked,,
243,0x8009b510,0x20211e5f,13,uncracked,,
244,0x8009b514,0x21229c5c,12,uncracked,,
245,0x8009b518,0x21a81d54,12,uncracked,,
246,0x8009b51c,0x53209c1c,12,uncracked,,
248,0x8009b524,0x212a9c2d,13,uncracked,,
249,0x8009b528,0x35289fae,17,uncracked,,
251,0x8009b530,0x1a828448,9,,,NEW (not in cracked_names.csv)
252,0x8009b534,0x0886cc58,11,,,NEW (not in cracked_names.csv)
254,0x8009b53c,0x6c289c1c,13,uncracked,,
255,0x8009b540,0xed209c94,14,uncracked,,
256,0x8009b544,0x6d209c95,14,uncracked,,
258,0x8009b54c,0x60181a0c,9,uncracked,,
259,0x8009b550,0x611c5804,10,uncracked,,
260,0x8009b554,0x400c9a1d,11,uncracked,,
