id_hex,id_dec,kinds,popcount,n_builds,beta,demo_eu,demo_jp,pal_d1,pal_d2,pal_d3,jp,us
0x04084011,67649553,sprite|anim,5,8,1,1,1,1,1,1,1,1
0x0408c01e,67682334,sprite|anim,8,6,1,0,0,1,1,1,1,1
0x040a2110,67772688,sprite|anim,6,8,1,1,1,1,1,1,1,1
0x0428801e,69763102,sprite|anim,8,6,1,0,0,1,1,1,1,1
0x0434ce72,70569586,audio,13,6,1,0,0,1,1,1,1,1
0x0462e0bb,73588923,audio,13,8,1,1,1,1,1,1,1,1
0x0478a37a,75015034,audio,14,8,1,1,1,1,1,1,1,1
0x04835000,75714560,sprite|anim,6,6,1,0,0,1,1,1,1,1
0x04a68e56,78024278,audio,13,8,1,1,1,1,1,1,1,1
0x04dce858,81586264,audio,13,6,1,0,0,1,1,1,1,1
0x052aa082,86679682,sprite|anim,9,6,1,0,0,1,1,1,1,1
0x0538a2ea,87597802,sprite|anim,13,6,1,0,0,1,1,1,1,1
0x06101db0,101719472,sprite|anim,10,6,1,0,0,1,1,1,1,1
0x0628a800,103327744,sprite|anim,7,6,1,0,0,1,1,1,1,1
0x069480a0,110395552,sprite|anim,8,6,1,0,0,1,1,1,1,1
0x069580a0,110461088,sprite|anim,9,6,1,0,0,1,1,1,1,1
0x06e0a824,115386404,audio,10,8,1,1,1,1,1,1,1,1
0x0708a4a0,118006944,sprite|anim,9,6,1,0,0,1,1,1,1,1
0x08041001,134483969,audio,4,6,1,0,0,1,1,1,1,1
0x08089081,134779009,audio,6,6,1,0,0,1,1,1,1,1
0x080c8300,135037696,sprite|anim,6,6,1,0,0,1,1,1,1,1
0x08148300,135561984,sprite|anim,6,8,1,1,1,1,1,1,1,1
0x08148ac2,135563970,audio,9,6,1,0,0,1,1,1,1,1
0x08188300,135824128,sprite|anim,6,8,1,1,1,1,1,1,1,1
0x08192250,135864912,sprite|anim,8,8,1,1,1,1,1,1,1,1
0x081c8302,136086274,sprite|anim,8,8,1,1,1,1,1,1,1,1
0x081d8300,136151808,sprite|anim,8,8,1,1,1,1,1,1,1,1
0x081e8300,136217344,sprite|anim,8,8,1,1,1,1,1,1,1,1
0x08208902,136349954,sprite|anim,6,8,1,1,1,1,1,1,1,1
0x082c0536,137102646,sprite|anim,10,8,1,1,1,1,1,1,1,1
0x082e03d8,137233368,sprite|anim,11,6,1,0,0,1,1,1,1,1
